starttime	seconds	ctime	dtime	ttime	wait
Mon Aug 10 11:38:34 2015	1439206714	247	318	565	318
Mon Aug 10 11:39:05 2015	1439206745	288	353	642	353
Mon Aug 10 11:38:33 2015	1439206713	310	362	673	362
Mon Aug 10 11:36:40 2015	1439206600	318	362	680	362
Mon Aug 10 11:36:40 2015	1439206600	301	382	683	381
Mon Aug 10 11:36:40 2015	1439206600	303	380	683	380
Mon Aug 10 11:36:40 2015	1439206600	288	395	683	395
Mon Aug 10 11:36:40 2015	1439206600	299	384	683	383
Mon Aug 10 11:36:40 2015	1439206600	298	386	683	385
Mon Aug 10 11:36:40 2015	1439206600	296	387	683	387
Mon Aug 10 11:36:40 2015	1439206600	274	411	685	411
Mon Aug 10 11:39:07 2015	1439206747	280	453	733	453
Mon Aug 10 11:39:06 2015	1439206746	298	435	733	435
Mon Aug 10 11:38:33 2015	1439206713	349	388	737	388
Mon Aug 10 11:39:07 2015	1439206747	299	439	738	439
Mon Aug 10 11:39:07 2015	1439206747	297	441	738	441
Mon Aug 10 11:39:07 2015	1439206747	301	438	739	438
Mon Aug 10 11:38:33 2015	1439206713	376	367	743	367
Mon Aug 10 11:36:37 2015	1439206597	465	303	768	303
Mon Aug 10 11:36:37 2015	1439206597	362	407	769	407
Mon Aug 10 11:38:47 2015	1439206727	185	586	771	586
Mon Aug 10 11:38:47 2015	1439206727	168	604	772	603
Mon Aug 10 11:39:06 2015	1439206746	307	474	781	474
Mon Aug 10 11:39:07 2015	1439206747	348	443	791	443
Mon Aug 10 11:38:29 2015	1439206709	352	442	794	442
Mon Aug 10 11:37:10 2015	1439206630	476	318	795	318
Mon Aug 10 11:38:29 2015	1439206709	338	461	799	461
Mon Aug 10 11:38:29 2015	1439206709	340	460	800	460
Mon Aug 10 11:38:29 2015	1439206709	295	506	801	506
Mon Aug 10 11:38:29 2015	1439206709	342	459	801	459
Mon Aug 10 11:38:29 2015	1439206709	329	474	803	474
Mon Aug 10 11:38:29 2015	1439206709	337	468	805	468
Mon Aug 10 11:38:33 2015	1439206713	426	380	806	379
Mon Aug 10 11:38:29 2015	1439206709	336	470	806	470
Mon Aug 10 11:36:38 2015	1439206598	301	509	810	509
Mon Aug 10 11:39:05 2015	1439206745	467	347	814	347
Mon Aug 10 11:36:39 2015	1439206599	247	568	815	568
Mon Aug 10 11:36:39 2015	1439206599	235	581	816	581
Mon Aug 10 11:37:20 2015	1439206640	334	482	816	482
Mon Aug 10 11:37:20 2015	1439206640	336	480	816	480
Mon Aug 10 11:36:39 2015	1439206599	222	596	819	596
Mon Aug 10 11:36:39 2015	1439206599	193	626	819	626
Mon Aug 10 11:37:52 2015	1439206672	217	603	820	603
Mon Aug 10 11:36:39 2015	1439206599	234	586	820	586
Mon Aug 10 11:38:46 2015	1439206726	570	256	826	256
Mon Aug 10 11:36:37 2015	1439206597	315	511	827	511
Mon Aug 10 11:36:37 2015	1439206597	310	517	827	517
Mon Aug 10 11:36:37 2015	1439206597	313	515	827	515
Mon Aug 10 11:37:19 2015	1439206639	288	544	831	543
Mon Aug 10 11:37:06 2015	1439206626	463	374	837	374
Mon Aug 10 11:37:06 2015	1439206626	460	378	837	377
Mon Aug 10 11:37:19 2015	1439206639	296	546	842	546
Mon Aug 10 11:38:33 2015	1439206713	402	441	843	441
Mon Aug 10 11:38:33 2015	1439206713	525	320	845	319
Mon Aug 10 11:36:39 2015	1439206599	359	489	848	489
Mon Aug 10 11:37:19 2015	1439206639	304	548	851	548
Mon Aug 10 11:37:19 2015	1439206639	301	550	852	550
Mon Aug 10 11:37:19 2015	1439206639	299	554	852	553
Mon Aug 10 11:38:47 2015	1439206727	547	311	858	311
Mon Aug 10 11:36:39 2015	1439206599	471	392	864	392
Mon Aug 10 11:37:21 2015	1439206641	466	402	868	402
Mon Aug 10 11:37:21 2015	1439206641	464	404	868	404
Mon Aug 10 11:36:40 2015	1439206600	543	329	871	329
Mon Aug 10 11:39:07 2015	1439206747	327	545	871	544
Mon Aug 10 11:39:07 2015	1439206747	343	529	871	529
Mon Aug 10 11:39:07 2015	1439206747	323	549	872	549
Mon Aug 10 11:39:07 2015	1439206747	325	547	872	547
Mon Aug 10 11:39:07 2015	1439206747	331	542	872	542
Mon Aug 10 11:39:07 2015	1439206747	329	544	873	544
Mon Aug 10 11:39:07 2015	1439206747	316	557	873	557
Mon Aug 10 11:39:07 2015	1439206747	319	555	874	555
Mon Aug 10 11:39:07 2015	1439206747	321	553	874	553
Mon Aug 10 11:39:07 2015	1439206747	313	562	874	562
Mon Aug 10 11:39:07 2015	1439206747	318	556	874	556
Mon Aug 10 11:39:07 2015	1439206747	311	564	875	564
Mon Aug 10 11:39:07 2015	1439206747	307	568	875	568
Mon Aug 10 11:39:07 2015	1439206747	315	560	875	560
Mon Aug 10 11:39:07 2015	1439206747	309	567	876	567
Mon Aug 10 11:39:07 2015	1439206747	305	571	876	571
Mon Aug 10 11:39:07 2015	1439206747	303	573	876	573
Mon Aug 10 11:37:19 2015	1439206639	508	372	880	372
Mon Aug 10 11:37:19 2015	1439206639	506	374	880	374
Mon Aug 10 11:38:29 2015	1439206709	415	466	881	466
Mon Aug 10 11:38:29 2015	1439206709	411	472	882	472
Mon Aug 10 11:38:29 2015	1439206709	404	478	883	478
Mon Aug 10 11:37:21 2015	1439206641	466	418	884	418
Mon Aug 10 11:38:29 2015	1439206709	408	478	886	478
Mon Aug 10 11:38:29 2015	1439206709	396	490	886	490
Mon Aug 10 11:38:27 2015	1439206707	225	661	886	661
Mon Aug 10 11:38:29 2015	1439206709	401	485	886	485
Mon Aug 10 11:38:29 2015	1439206709	407	480	887	480
Mon Aug 10 11:38:29 2015	1439206709	398	489	887	489
Mon Aug 10 11:38:29 2015	1439206709	392	497	889	497
Mon Aug 10 11:38:29 2015	1439206709	403	487	889	487
Mon Aug 10 11:38:29 2015	1439206709	394	496	890	496
Mon Aug 10 11:38:28 2015	1439206708	262	633	895	633
Mon Aug 10 11:38:28 2015	1439206708	256	640	896	640
Mon Aug 10 11:38:28 2015	1439206708	254	642	896	642
Mon Aug 10 11:38:28 2015	1439206708	309	588	897	588
Mon Aug 10 11:38:28 2015	1439206708	253	645	898	645
Mon Aug 10 11:38:28 2015	1439206708	259	638	898	638
Mon Aug 10 11:38:28 2015	1439206708	258	641	899	640
Mon Aug 10 11:38:28 2015	1439206708	253	646	899	646
Mon Aug 10 11:38:28 2015	1439206708	249	651	900	651
Mon Aug 10 11:38:27 2015	1439206707	208	692	900	692
Mon Aug 10 11:38:27 2015	1439206707	554	346	900	346
Mon Aug 10 11:38:28 2015	1439206708	246	655	901	655
Mon Aug 10 11:38:28 2015	1439206708	244	658	902	658
Mon Aug 10 11:38:28 2015	1439206708	251	651	902	651
Mon Aug 10 11:38:33 2015	1439206713	564	341	905	341
Mon Aug 10 11:36:37 2015	1439206597	287	619	906	619
Mon Aug 10 11:36:37 2015	1439206597	289	618	906	617
Mon Aug 10 11:36:39 2015	1439206599	382	524	906	524
Mon Aug 10 11:39:06 2015	1439206746	318	589	907	589
Mon Aug 10 11:36:39 2015	1439206599	385	522	907	522
Mon Aug 10 11:36:37 2015	1439206597	293	614	907	614
Mon Aug 10 11:36:39 2015	1439206599	386	520	907	520
Mon Aug 10 11:38:33 2015	1439206713	540	368	907	368
Mon Aug 10 11:39:06 2015	1439206746	311	597	907	597
Mon Aug 10 11:38:33 2015	1439206713	533	375	908	375
Mon Aug 10 11:39:06 2015	1439206746	314	594	908	594
Mon Aug 10 11:39:06 2015	1439206746	316	592	908	592
Mon Aug 10 11:36:37 2015	1439206597	291	617	908	617
Mon Aug 10 11:36:37 2015	1439206597	283	625	908	625
Mon Aug 10 11:39:06 2015	1439206746	312	596	908	596
Mon Aug 10 11:39:06 2015	1439206746	307	602	908	602
Mon Aug 10 11:39:06 2015	1439206746	305	603	908	603
Mon Aug 10 11:36:37 2015	1439206597	295	614	909	614
Mon Aug 10 11:39:06 2015	1439206746	309	601	909	601
Mon Aug 10 11:39:06 2015	1439206746	303	607	910	607
Mon Aug 10 11:38:33 2015	1439206713	517	393	910	393
Mon Aug 10 11:38:33 2015	1439206713	538	372	910	372
Mon Aug 10 11:38:33 2015	1439206713	523	387	910	387
Mon Aug 10 11:38:33 2015	1439206713	527	383	910	383
Mon Aug 10 11:38:33 2015	1439206713	531	379	910	379
Mon Aug 10 11:38:33 2015	1439206713	529	381	910	381
Mon Aug 10 11:37:20 2015	1439206640	425	492	917	492
Mon Aug 10 11:37:20 2015	1439206640	427	490	917	490
Mon Aug 10 11:38:46 2015	1439206726	238	687	925	687
Mon Aug 10 11:38:28 2015	1439206708	429	497	926	497
Mon Aug 10 11:39:06 2015	1439206746	353	574	927	574
Mon Aug 10 11:39:06 2015	1439206746	356	571	927	571
Mon Aug 10 11:38:28 2015	1439206708	433	494	927	494
Mon Aug 10 11:38:28 2015	1439206708	423	504	927	504
Mon Aug 10 11:39:06 2015	1439206746	340	587	927	587
Mon Aug 10 11:39:06 2015	1439206746	345	582	928	582
Mon Aug 10 11:38:28 2015	1439206708	425	503	928	503
Mon Aug 10 11:39:06 2015	1439206746	343	585	929	585
Mon Aug 10 11:38:28 2015	1439206708	431	498	929	498
Mon Aug 10 11:38:28 2015	1439206708	427	502	929	501
Mon Aug 10 11:39:06 2015	1439206746	349	580	929	580
Mon Aug 10 11:39:06 2015	1439206746	347	582	929	582
Mon Aug 10 11:38:28 2015	1439206708	421	508	929	508
Mon Aug 10 11:37:20 2015	1439206640	449	480	929	480
Mon Aug 10 11:38:28 2015	1439206708	415	515	930	515
Mon Aug 10 11:38:28 2015	1439206708	419	511	930	511
Mon Aug 10 11:37:20 2015	1439206640	479	452	931	452
Mon Aug 10 11:39:06 2015	1439206746	335	597	931	597
Mon Aug 10 11:38:28 2015	1439206708	413	518	931	518
Mon Aug 10 11:37:20 2015	1439206640	495	436	931	436
Mon Aug 10 11:37:20 2015	1439206640	489	443	931	443
Mon Aug 10 11:38:28 2015	1439206708	402	530	932	530
Mon Aug 10 11:37:20 2015	1439206640	493	439	932	439
Mon Aug 10 11:37:20 2015	1439206640	491	441	932	441
Mon Aug 10 11:38:28 2015	1439206708	374	558	932	558
Mon Aug 10 11:37:20 2015	1439206640	498	435	932	435
Mon Aug 10 11:37:20 2015	1439206640	485	448	933	447
Mon Aug 10 11:37:20 2015	1439206640	487	446	933	446
Mon Aug 10 11:38:28 2015	1439206708	417	517	934	517
Mon Aug 10 11:36:37 2015	1439206597	310	625	936	625
Mon Aug 10 11:36:37 2015	1439206597	314	622	936	622
Mon Aug 10 11:36:37 2015	1439206597	307	630	937	630
Mon Aug 10 11:39:07 2015	1439206747	354	583	937	583
Mon Aug 10 11:36:37 2015	1439206597	308	630	938	630
Mon Aug 10 11:37:35 2015	1439206655	502	441	943	441
Mon Aug 10 11:38:27 2015	1439206707	213	736	949	736
Mon Aug 10 11:38:33 2015	1439206713	557	400	958	400
Mon Aug 10 11:39:06 2015	1439206746	351	607	958	607
Mon Aug 10 11:36:40 2015	1439206600	375	583	959	583
Mon Aug 10 11:36:39 2015	1439206599	448	511	959	511
Mon Aug 10 11:36:39 2015	1439206599	645	314	959	314
Mon Aug 10 11:39:06 2015	1439206746	338	621	960	621
Mon Aug 10 11:39:06 2015	1439206746	337	623	960	623
Mon Aug 10 11:38:33 2015	1439206713	555	405	960	405
Mon Aug 10 11:38:14 2015	1439206694	273	688	962	688
Mon Aug 10 11:38:27 2015	1439206707	224	737	962	737
Mon Aug 10 11:38:27 2015	1439206707	219	743	962	743
Mon Aug 10 11:38:27 2015	1439206707	210	752	962	752
Mon Aug 10 11:38:27 2015	1439206707	220	743	963	742
Mon Aug 10 11:38:27 2015	1439206707	222	741	963	741
Mon Aug 10 11:38:27 2015	1439206707	216	747	964	747
Mon Aug 10 11:38:27 2015	1439206707	215	749	964	749
Mon Aug 10 11:38:27 2015	1439206707	212	752	964	751
Mon Aug 10 11:36:39 2015	1439206599	484	480	965	480
Mon Aug 10 11:38:35 2015	1439206715	233	732	965	732
Mon Aug 10 11:36:39 2015	1439206599	483	484	966	484
Mon Aug 10 11:39:05 2015	1439206745	600	366	966	366
Mon Aug 10 11:39:07 2015	1439206747	267	701	968	701
Mon Aug 10 11:39:07 2015	1439206747	264	705	969	705
Mon Aug 10 11:39:07 2015	1439206747	261	708	969	708
Mon Aug 10 11:39:07 2015	1439206747	259	711	970	710
Mon Aug 10 11:39:07 2015	1439206747	255	716	971	716
Mon Aug 10 11:39:07 2015	1439206747	273	698	971	698
Mon Aug 10 11:39:07 2015	1439206747	265	707	972	707
Mon Aug 10 11:39:07 2015	1439206747	271	701	972	701
Mon Aug 10 11:39:07 2015	1439206747	269	703	972	703
Mon Aug 10 11:39:02 2015	1439206742	522	456	978	456
Mon Aug 10 11:37:36 2015	1439206656	666	313	979	313
Mon Aug 10 11:37:36 2015	1439206656	668	311	979	311
Mon Aug 10 11:37:36 2015	1439206656	664	315	979	315
Mon Aug 10 11:39:02 2015	1439206742	524	455	979	455
