starttime	seconds	ctime	dtime	ttime	wait
Mon Aug 10 13:49:32 2015	1439214572	1030	65	1095	65
Mon Aug 10 13:49:32 2015	1439214572	989	110	1099	108
Mon Aug 10 13:49:31 2015	1439214571	172	993	1165	993
Mon Aug 10 13:49:31 2015	1439214571	172	999	1170	999
Mon Aug 10 13:49:31 2015	1439214571	164	1025	1188	1025
Mon Aug 10 13:49:32 2015	1439214572	990	208	1198	208
Mon Aug 10 13:48:46 2015	1439214526	870	335	1205	335
Mon Aug 10 13:48:46 2015	1439214526	845	366	1210	366
Mon Aug 10 13:48:46 2015	1439214526	871	350	1221	350
Mon Aug 10 13:48:46 2015	1439214526	869	353	1222	353
Mon Aug 10 13:48:46 2015	1439214526	868	354	1222	354
Mon Aug 10 13:48:46 2015	1439214526	869	353	1222	353
Mon Aug 10 13:48:46 2015	1439214526	869	354	1222	354
Mon Aug 10 13:48:46 2015	1439214526	869	354	1223	354
Mon Aug 10 13:48:46 2015	1439214526	870	353	1223	352
Mon Aug 10 13:48:46 2015	1439214526	869	354	1223	354
Mon Aug 10 13:48:46 2015	1439214526	868	355	1224	355
Mon Aug 10 13:48:46 2015	1439214526	869	355	1224	355
Mon Aug 10 13:48:46 2015	1439214526	870	354	1224	354
Mon Aug 10 13:48:46 2015	1439214526	869	355	1224	355
Mon Aug 10 13:48:46 2015	1439214526	868	356	1224	356
Mon Aug 10 13:48:46 2015	1439214526	870	354	1224	354
Mon Aug 10 13:48:46 2015	1439214526	868	357	1225	357
Mon Aug 10 13:48:46 2015	1439214526	869	356	1225	356
Mon Aug 10 13:48:46 2015	1439214526	873	353	1226	353
Mon Aug 10 13:48:46 2015	1439214526	869	357	1226	357
Mon Aug 10 13:49:31 2015	1439214571	298	936	1235	936
Mon Aug 10 13:48:46 2015	1439214526	873	365	1239	365
Mon Aug 10 13:48:46 2015	1439214526	873	366	1239	366
Mon Aug 10 13:48:46 2015	1439214526	874	366	1240	366
Mon Aug 10 13:48:46 2015	1439214526	874	366	1240	366
Mon Aug 10 13:49:31 2015	1439214571	169	1073	1242	1073
Mon Aug 10 13:49:31 2015	1439214571	167	1075	1242	1074
Mon Aug 10 13:49:31 2015	1439214571	168	1074	1242	1074
Mon Aug 10 13:49:31 2015	1439214571	168	1074	1242	1074
Mon Aug 10 13:48:46 2015	1439214526	874	369	1242	369
Mon Aug 10 13:49:31 2015	1439214571	169	1074	1243	1074
Mon Aug 10 13:49:31 2015	1439214571	168	1075	1243	1075
Mon Aug 10 13:48:46 2015	1439214526	872	371	1243	371
Mon Aug 10 13:48:46 2015	1439214526	873	371	1244	371
Mon Aug 10 13:49:31 2015	1439214571	172	1075	1247	1074
Mon Aug 10 13:48:46 2015	1439214526	874	374	1248	374
Mon Aug 10 13:48:46 2015	1439214526	873	375	1249	375
Mon Aug 10 13:48:48 2015	1439214528	515	748	1263	748
Mon Aug 10 13:48:46 2015	1439214526	861	472	1333	472
Mon Aug 10 13:48:46 2015	1439214526	873	474	1347	474
Mon Aug 10 13:48:46 2015	1439214526	872	475	1347	475
Mon Aug 10 13:48:46 2015	1439214526	873	475	1347	474
Mon Aug 10 13:48:46 2015	1439214526	872	476	1348	476
Mon Aug 10 13:48:46 2015	1439214526	873	474	1348	474
Mon Aug 10 13:48:46 2015	1439214526	874	474	1348	474
Mon Aug 10 13:48:46 2015	1439214526	873	475	1348	475
Mon Aug 10 13:48:46 2015	1439214526	873	475	1348	475
Mon Aug 10 13:48:46 2015	1439214526	873	475	1348	475
Mon Aug 10 13:48:46 2015	1439214526	872	476	1348	475
Mon Aug 10 13:48:46 2015	1439214526	872	476	1348	475
Mon Aug 10 13:48:46 2015	1439214526	872	477	1349	477
Mon Aug 10 13:48:46 2015	1439214526	872	477	1349	477
Mon Aug 10 13:48:46 2015	1439214526	871	478	1350	478
Mon Aug 10 13:48:46 2015	1439214526	871	480	1351	480
Mon Aug 10 13:48:46 2015	1439214526	871	480	1351	480
Mon Aug 10 13:48:46 2015	1439214526	871	480	1351	480
Mon Aug 10 13:48:46 2015	1439214526	871	481	1351	481
Mon Aug 10 13:48:46 2015	1439214526	870	481	1352	481
Mon Aug 10 13:48:46 2015	1439214526	871	481	1352	481
Mon Aug 10 13:48:46 2015	1439214526	870	482	1352	482
Mon Aug 10 13:48:46 2015	1439214526	871	482	1352	482
Mon Aug 10 13:48:46 2015	1439214526	863	493	1356	493
Mon Aug 10 13:48:46 2015	1439214526	867	489	1356	489
Mon Aug 10 13:48:46 2015	1439214526	867	490	1357	490
Mon Aug 10 13:48:46 2015	1439214526	870	491	1361	491
Mon Aug 10 13:48:46 2015	1439214526	870	491	1362	491
Mon Aug 10 13:48:46 2015	1439214526	870	492	1363	492
Mon Aug 10 13:48:46 2015	1439214526	871	493	1364	493
Mon Aug 10 13:48:46 2015	1439214526	871	494	1365	494
Mon Aug 10 13:48:46 2015	1439214526	870	495	1365	495
Mon Aug 10 13:48:46 2015	1439214526	870	496	1366	496
Mon Aug 10 13:48:46 2015	1439214526	867	499	1366	499
Mon Aug 10 13:48:46 2015	1439214526	867	499	1367	499
Mon Aug 10 13:48:46 2015	1439214526	867	500	1367	499
Mon Aug 10 13:48:46 2015	1439214526	866	501	1368	501
Mon Aug 10 13:48:46 2015	1439214526	867	502	1369	502
Mon Aug 10 13:48:46 2015	1439214526	868	501	1369	501
Mon Aug 10 13:48:46 2015	1439214526	867	502	1369	502
Mon Aug 10 13:48:46 2015	1439214526	867	503	1370	503
Mon Aug 10 13:48:46 2015	1439214526	867	502	1370	502
Mon Aug 10 13:48:46 2015	1439214526	866	504	1370	504
Mon Aug 10 13:48:46 2015	1439214526	867	505	1371	505
Mon Aug 10 13:48:46 2015	1439214526	866	505	1371	505
Mon Aug 10 13:48:46 2015	1439214526	867	505	1372	504
Mon Aug 10 13:48:46 2015	1439214526	866	506	1372	506
Mon Aug 10 13:48:46 2015	1439214526	866	506	1372	506
Mon Aug 10 13:48:46 2015	1439214526	867	506	1372	505
Mon Aug 10 13:48:46 2015	1439214526	870	504	1374	503
Mon Aug 10 13:48:46 2015	1439214526	870	504	1374	504
Mon Aug 10 13:48:46 2015	1439214526	871	504	1375	504
Mon Aug 10 13:48:46 2015	1439214526	871	504	1375	504
Mon Aug 10 13:48:46 2015	1439214526	871	504	1375	504
Mon Aug 10 13:48:46 2015	1439214526	870	506	1376	506
Mon Aug 10 13:48:46 2015	1439214526	871	506	1377	506
Mon Aug 10 13:48:46 2015	1439214526	872	506	1377	506
Mon Aug 10 13:48:46 2015	1439214526	871	507	1378	506
Mon Aug 10 13:48:46 2015	1439214526	874	506	1380	506
Mon Aug 10 13:48:46 2015	1439214526	868	513	1382	513
Mon Aug 10 13:48:46 2015	1439214526	869	513	1382	513
Mon Aug 10 13:48:46 2015	1439214526	868	515	1383	514
Mon Aug 10 13:48:46 2015	1439214526	869	514	1383	514
Mon Aug 10 13:48:46 2015	1439214526	867	516	1383	515
Mon Aug 10 13:48:46 2015	1439214526	868	515	1383	515
Mon Aug 10 13:48:46 2015	1439214526	868	515	1383	515
Mon Aug 10 13:48:46 2015	1439214526	868	516	1384	516
Mon Aug 10 13:48:46 2015	1439214526	868	517	1384	517
Mon Aug 10 13:48:46 2015	1439214526	869	515	1384	515
Mon Aug 10 13:48:46 2015	1439214526	867	518	1386	518
Mon Aug 10 13:48:46 2015	1439214526	870	518	1388	518
Mon Aug 10 13:48:46 2015	1439214526	869	520	1389	520
Mon Aug 10 13:48:46 2015	1439214526	869	521	1390	521
Mon Aug 10 13:48:46 2015	1439214526	868	523	1391	523
Mon Aug 10 13:48:46 2015	1439214526	873	519	1392	519
Mon Aug 10 13:48:46 2015	1439214526	868	524	1392	524
Mon Aug 10 13:48:46 2015	1439214526	874	519	1393	519
Mon Aug 10 13:48:46 2015	1439214526	868	526	1394	525
Mon Aug 10 13:48:51 2015	1439214531	643	767	1410	767
Mon Aug 10 13:48:48 2015	1439214528	425	995	1420	995
Mon Aug 10 13:48:48 2015	1439214528	424	996	1420	996
Mon Aug 10 13:48:48 2015	1439214528	425	997	1421	997
Mon Aug 10 13:48:48 2015	1439214528	424	997	1421	997
Mon Aug 10 13:48:57 2015	1439214537	552	883	1435	883
Mon Aug 10 13:49:33 2015	1439214573	930	510	1440	510
Mon Aug 10 13:49:33 2015	1439214573	928	514	1442	514
Mon Aug 10 13:48:57 2015	1439214537	557	887	1443	887
Mon Aug 10 13:48:57 2015	1439214537	557	887	1443	887
Mon Aug 10 13:48:57 2015	1439214537	557	887	1444	887
