starttime	seconds	ctime	dtime	ttime	wait
Mon Aug 10 11:23:05 2015	1439205785	94	183	277	183
Mon Aug 10 11:22:55 2015	1439205775	119	199	319	199
Mon Aug 10 11:22:55 2015	1439205775	123	196	319	196
Mon Aug 10 11:22:55 2015	1439205775	121	198	319	198
Mon Aug 10 11:23:16 2015	1439205796	220	149	369	149
Mon Aug 10 11:23:16 2015	1439205796	215	200	415	200
Mon Aug 10 11:23:16 2015	1439205796	212	203	415	203
Mon Aug 10 11:23:16 2015	1439205796	209	207	416	207
Mon Aug 10 11:23:16 2015	1439205796	206	210	416	210
Mon Aug 10 11:23:16 2015	1439205796	202	214	416	214
Mon Aug 10 11:23:16 2015	1439205796	278	151	429	151
Mon Aug 10 11:23:16 2015	1439205796	225	206	430	205
Mon Aug 10 11:23:16 2015	1439205796	222	209	431	209
Mon Aug 10 11:23:16 2015	1439205796	218	213	431	213
Mon Aug 10 11:23:05 2015	1439205785	242	196	437	196
Mon Aug 10 11:23:05 2015	1439205785	240	198	437	198
Mon Aug 10 11:23:12 2015	1439205792	165	291	455	291
Mon Aug 10 11:23:12 2015	1439205792	181	274	455	274
Mon Aug 10 11:23:12 2015	1439205792	183	273	456	272
Mon Aug 10 11:23:12 2015	1439205792	177	279	456	279
Mon Aug 10 11:23:12 2015	1439205792	158	298	457	298
Mon Aug 10 11:23:16 2015	1439205796	64	397	462	397
Mon Aug 10 11:23:00 2015	1439205780	183	302	485	302
Mon Aug 10 11:23:09 2015	1439205789	125	363	488	363
Mon Aug 10 11:23:16 2015	1439205796	103	392	495	392
Mon Aug 10 11:23:16 2015	1439205796	101	394	496	394
Mon Aug 10 11:22:56 2015	1439205776	236	263	499	263
Mon Aug 10 11:22:56 2015	1439205776	234	266	499	266
Mon Aug 10 11:23:10 2015	1439205790	320	179	500	179
Mon Aug 10 11:22:56 2015	1439205776	230	270	500	270
Mon Aug 10 11:23:15 2015	1439205795	147	354	501	354
Mon Aug 10 11:23:15 2015	1439205795	148	353	502	353
Mon Aug 10 11:23:15 2015	1439205795	141	361	502	361
Mon Aug 10 11:23:15 2015	1439205795	136	366	502	366
Mon Aug 10 11:23:16 2015	1439205796	247	256	503	256
