starttime	seconds	ctime	dtime	ttime	wait
Mon Aug 10 11:28:27 2015	1439206107	246	242	489	242
Mon Aug 10 11:28:27 2015	1439206107	244	245	489	245
Mon Aug 10 11:27:12 2015	1439206032	218	273	491	273
Mon Aug 10 11:28:29 2015	1439206109	239	259	499	259
Mon Aug 10 11:28:20 2015	1439206100	220	282	502	282
Mon Aug 10 11:28:20 2015	1439206100	222	280	502	279
Mon Aug 10 11:28:20 2015	1439206100	218	284	502	284
Mon Aug 10 11:28:20 2015	1439206100	261	252	512	252
Mon Aug 10 11:28:20 2015	1439206100	263	249	512	249
Mon Aug 10 11:28:20 2015	1439206100	259	254	513	254
Mon Aug 10 11:28:29 2015	1439206109	358	162	519	162
Mon Aug 10 11:28:04 2015	1439206084	265	262	527	262
Mon Aug 10 11:28:04 2015	1439206084	261	266	528	266
Mon Aug 10 11:28:04 2015	1439206084	257	271	528	271
Mon Aug 10 11:28:04 2015	1439206084	259	269	528	269
Mon Aug 10 11:28:04 2015	1439206084	263	266	529	266
Mon Aug 10 11:28:04 2015	1439206084	255	274	529	274
Mon Aug 10 11:28:27 2015	1439206107	108	426	533	425
Mon Aug 10 11:28:20 2015	1439206100	210	327	537	327
Mon Aug 10 11:28:20 2015	1439206100	207	330	537	330
Mon Aug 10 11:28:20 2015	1439206100	214	324	538	324
Mon Aug 10 11:28:27 2015	1439206107	216	333	549	333
Mon Aug 10 11:28:27 2015	1439206107	227	322	549	322
Mon Aug 10 11:26:49 2015	1439206009	236	314	551	314
Mon Aug 10 11:26:49 2015	1439206009	163	388	551	388
Mon Aug 10 11:26:49 2015	1439206009	226	325	551	325
Mon Aug 10 11:26:49 2015	1439206009	228	324	552	324
Mon Aug 10 11:28:27 2015	1439206107	208	350	558	350
Mon Aug 10 11:28:27 2015	1439206107	210	348	558	348
Mon Aug 10 11:28:27 2015	1439206107	299	261	560	261
Mon Aug 10 11:28:27 2015	1439206107	232	327	560	327
Mon Aug 10 11:28:27 2015	1439206107	214	346	560	346
Mon Aug 10 11:28:27 2015	1439206107	303	257	561	257
Mon Aug 10 11:28:27 2015	1439206107	300	260	561	260
Mon Aug 10 11:28:27 2015	1439206107	297	264	561	264
Mon Aug 10 11:28:04 2015	1439206084	220	350	571	350
Mon Aug 10 11:28:04 2015	1439206084	217	354	571	354
Mon Aug 10 11:28:27 2015	1439206107	236	335	572	335
Mon Aug 10 11:28:29 2015	1439206109	316	270	586	270
Mon Aug 10 11:27:12 2015	1439206032	225	362	587	362
Mon Aug 10 11:28:29 2015	1439206109	362	227	588	226
Mon Aug 10 11:28:29 2015	1439206109	358	232	589	231
Mon Aug 10 11:28:29 2015	1439206109	355	234	589	233
Mon Aug 10 11:28:29 2015	1439206109	363	227	590	227
Mon Aug 10 11:28:29 2015	1439206109	348	242	591	242
Mon Aug 10 11:28:29 2015	1439206109	359	232	591	231
Mon Aug 10 11:28:29 2015	1439206109	343	248	592	248
Mon Aug 10 11:28:29 2015	1439206109	352	240	593	240
Mon Aug 10 11:28:29 2015	1439206109	350	242	593	242
Mon Aug 10 11:28:29 2015	1439206109	336	256	593	256
Mon Aug 10 11:28:29 2015	1439206109	340	253	593	253
Mon Aug 10 11:28:29 2015	1439206109	338	255	593	255
Mon Aug 10 11:28:20 2015	1439206100	314	280	594	280
Mon Aug 10 11:28:20 2015	1439206100	318	276	594	276
Mon Aug 10 11:28:29 2015	1439206109	342	253	594	253
Mon Aug 10 11:28:20 2015	1439206100	307	287	594	287
Mon Aug 10 11:28:20 2015	1439206100	311	284	595	284
Mon Aug 10 11:28:27 2015	1439206107	297	298	595	298
Mon Aug 10 11:28:20 2015	1439206100	305	290	595	290
Mon Aug 10 11:28:20 2015	1439206100	303	293	596	293
Mon Aug 10 11:28:20 2015	1439206100	265	331	596	331
Mon Aug 10 11:27:23 2015	1439206043	247	349	596	349
Mon Aug 10 11:28:20 2015	1439206100	256	341	596	341
Mon Aug 10 11:28:20 2015	1439206100	269	327	596	327
Mon Aug 10 11:28:20 2015	1439206100	309	288	596	288
Mon Aug 10 11:28:20 2015	1439206100	267	329	597	329
Mon Aug 10 11:28:27 2015	1439206107	298	299	597	299
Mon Aug 10 11:28:27 2015	1439206107	294	303	597	303
Mon Aug 10 11:28:27 2015	1439206107	296	302	598	302
Mon Aug 10 11:28:24 2015	1439206104	143	456	599	456
Mon Aug 10 11:28:21 2015	1439206101	244	356	600	356
Mon Aug 10 11:28:21 2015	1439206101	226	376	602	376
Mon Aug 10 11:28:29 2015	1439206109	202	404	606	404
Mon Aug 10 11:28:29 2015	1439206109	188	417	606	417
Mon Aug 10 11:28:20 2015	1439206100	259	361	621	361
Mon Aug 10 11:28:22 2015	1439206102	274	352	626	352
Mon Aug 10 11:28:22 2015	1439206102	269	357	627	357
Mon Aug 10 11:27:12 2015	1439206032	341	286	627	286
Mon Aug 10 11:28:22 2015	1439206102	272	355	627	355
Mon Aug 10 11:27:12 2015	1439206032	345	282	628	282
Mon Aug 10 11:28:27 2015	1439206107	303	330	633	330
Mon Aug 10 11:28:29 2015	1439206109	368	268	636	268
Mon Aug 10 11:28:29 2015	1439206109	370	266	636	266
Mon Aug 10 11:28:27 2015	1439206107	392	248	640	248
Mon Aug 10 11:27:25 2015	1439206045	239	405	644	405
Mon Aug 10 11:28:20 2015	1439206100	349	295	645	295
Mon Aug 10 11:28:20 2015	1439206100	345	300	646	300
Mon Aug 10 11:28:20 2015	1439206100	354	292	646	291
Mon Aug 10 11:28:20 2015	1439206100	347	300	647	299
Mon Aug 10 11:28:20 2015	1439206100	267	380	647	380
Mon Aug 10 11:28:20 2015	1439206100	273	374	647	374
Mon Aug 10 11:28:20 2015	1439206100	271	377	647	376
Mon Aug 10 11:28:20 2015	1439206100	265	383	648	383
Mon Aug 10 11:28:27 2015	1439206107	295	365	660	365
Mon Aug 10 11:28:27 2015	1439206107	410	252	662	252
Mon Aug 10 11:28:27 2015	1439206107	412	251	663	251
Mon Aug 10 11:28:27 2015	1439206107	232	433	665	433
Mon Aug 10 11:28:27 2015	1439206107	238	428	665	428
Mon Aug 10 11:28:27 2015	1439206107	333	332	666	332
Mon Aug 10 11:28:27 2015	1439206107	234	431	666	431
Mon Aug 10 11:28:27 2015	1439206107	336	330	666	330
Mon Aug 10 11:28:27 2015	1439206107	236	430	666	430
Mon Aug 10 11:28:27 2015	1439206107	328	338	666	338
Mon Aug 10 11:28:27 2015	1439206107	324	343	666	343
