starttime	seconds	ctime	dtime	ttime	wait
Mon Aug 10 11:22:21 2015	1439205741	72	216	288	216
Mon Aug 10 11:22:17 2015	1439205737	96	220	316	220
Mon Aug 10 11:22:18 2015	1439205738	125	194	319	194
Mon Aug 10 11:22:19 2015	1439205739	101	228	329	228
Mon Aug 10 11:22:19 2015	1439205739	90	243	332	242
Mon Aug 10 11:22:21 2015	1439205741	134	203	337	203
Mon Aug 10 11:22:21 2015	1439205741	132	205	337	205
Mon Aug 10 11:22:21 2015	1439205741	136	201	337	201
Mon Aug 10 11:22:21 2015	1439205741	130	208	338	208
Mon Aug 10 11:22:15 2015	1439205735	85	268	353	268
Mon Aug 10 11:22:18 2015	1439205738	115	245	359	245
Mon Aug 10 11:22:18 2015	1439205738	119	241	359	241
Mon Aug 10 11:22:18 2015	1439205738	117	243	360	243
Mon Aug 10 11:22:11 2015	1439205731	117	244	361	244
Mon Aug 10 11:22:11 2015	1439205731	122	239	361	239
Mon Aug 10 11:22:11 2015	1439205731	124	238	361	238
Mon Aug 10 11:22:12 2015	1439205732	122	241	363	241
Mon Aug 10 11:22:12 2015	1439205732	149	214	363	214
Mon Aug 10 11:22:12 2015	1439205732	123	239	363	239
Mon Aug 10 11:22:12 2015	1439205732	179	185	364	185
Mon Aug 10 11:22:12 2015	1439205732	188	177	364	177
Mon Aug 10 11:22:16 2015	1439205736	147	218	365	218
Mon Aug 10 11:22:16 2015	1439205736	160	205	365	205
Mon Aug 10 11:22:16 2015	1439205736	162	204	366	204
Mon Aug 10 11:22:13 2015	1439205733	161	207	367	207
Mon Aug 10 11:22:13 2015	1439205733	163	205	367	205
Mon Aug 10 11:22:18 2015	1439205738	164	204	368	204
Mon Aug 10 11:22:18 2015	1439205738	162	206	368	206
Mon Aug 10 11:22:13 2015	1439205733	156	213	368	213
Mon Aug 10 11:22:13 2015	1439205733	159	210	369	210
Mon Aug 10 11:22:13 2015	1439205733	157	211	369	211
Mon Aug 10 11:22:24 2015	1439205744	149	220	369	220
Mon Aug 10 11:22:13 2015	1439205733	154	216	369	216
Mon Aug 10 11:22:13 2015	1439205733	152	218	370	218
Mon Aug 10 11:22:21 2015	1439205741	115	258	373	258
Mon Aug 10 11:22:12 2015	1439205732	186	188	374	188
Mon Aug 10 11:22:21 2015	1439205741	118	256	374	256
Mon Aug 10 11:22:13 2015	1439205733	179	198	377	198
Mon Aug 10 11:22:16 2015	1439205736	148	231	379	231
Mon Aug 10 11:22:13 2015	1439205733	165	214	379	214
Mon Aug 10 11:22:13 2015	1439205733	181	199	380	199
Mon Aug 10 11:22:13 2015	1439205733	178	203	380	203
Mon Aug 10 11:22:20 2015	1439205740	174	207	382	207
Mon Aug 10 11:22:20 2015	1439205740	169	213	382	213
Mon Aug 10 11:22:23 2015	1439205743	147	236	383	236
Mon Aug 10 11:22:11 2015	1439205731	112	272	384	272
Mon Aug 10 11:22:11 2015	1439205731	130	255	384	255
Mon Aug 10 11:22:11 2015	1439205731	131	253	385	253
Mon Aug 10 11:22:11 2015	1439205731	134	251	385	251
Mon Aug 10 11:22:16 2015	1439205736	88	301	388	301
Mon Aug 10 11:22:25 2015	1439205745	256	135	391	135
Mon Aug 10 11:22:17 2015	1439205737	158	233	391	233
Mon Aug 10 11:22:17 2015	1439205737	156	235	391	235
Mon Aug 10 11:22:17 2015	1439205737	160	232	392	231
Mon Aug 10 11:22:25 2015	1439205745	268	124	392	124
Mon Aug 10 11:22:11 2015	1439205731	168	225	392	225
Mon Aug 10 11:22:11 2015	1439205731	153	240	392	240
Mon Aug 10 11:22:25 2015	1439205745	270	123	392	123
Mon Aug 10 11:22:25 2015	1439205745	266	127	393	127
Mon Aug 10 11:22:25 2015	1439205745	264	128	393	128
Mon Aug 10 11:22:13 2015	1439205733	160	233	393	233
Mon Aug 10 11:22:12 2015	1439205732	211	182	393	182
Mon Aug 10 11:22:13 2015	1439205733	153	240	393	240
Mon Aug 10 11:22:12 2015	1439205732	213	181	393	181
Mon Aug 10 11:22:13 2015	1439205733	158	235	393	235
Mon Aug 10 11:22:13 2015	1439205733	152	242	393	242
Mon Aug 10 11:22:11 2015	1439205731	165	228	394	228
Mon Aug 10 11:22:13 2015	1439205733	156	238	394	238
