starttime	seconds	ctime	dtime	ttime	wait
Mon Aug 10 13:42:16 2015	1439214136	18	2	19	2
Mon Aug 10 13:42:16 2015	1439214136	18	2	19	2
Mon Aug 10 13:42:16 2015	1439214136	20	14	34	13
Mon Aug 10 13:42:16 2015	1439214136	21	13	34	13
Mon Aug 10 13:42:16 2015	1439214136	22	12	34	12
Mon Aug 10 13:42:16 2015	1439214136	26	9	36	9
Mon Aug 10 13:42:16 2015	1439214136	34	2	36	2
Mon Aug 10 13:42:17 2015	1439214137	29	10	39	10
Mon Aug 10 13:42:15 2015	1439214135	31	9	40	9
Mon Aug 10 13:42:17 2015	1439214137	29	11	40	11
Mon Aug 10 13:42:17 2015	1439214137	30	11	40	11
Mon Aug 10 13:42:16 2015	1439214136	40	2	42	2
Mon Aug 10 13:42:17 2015	1439214137	39	3	42	3
Mon Aug 10 13:42:17 2015	1439214137	39	3	42	3
Mon Aug 10 13:42:16 2015	1439214136	40	2	43	2
Mon Aug 10 13:42:17 2015	1439214137	41	2	43	2
Mon Aug 10 13:42:16 2015	1439214136	15	29	44	29
Mon Aug 10 13:42:16 2015	1439214136	37	7	44	7
Mon Aug 10 13:42:16 2015	1439214136	37	7	44	7
Mon Aug 10 13:42:16 2015	1439214136	15	29	44	29
Mon Aug 10 13:42:16 2015	1439214136	30	14	44	14
Mon Aug 10 13:42:16 2015	1439214136	30	14	44	14
Mon Aug 10 13:42:16 2015	1439214136	20	25	44	25
Mon Aug 10 13:42:16 2015	1439214136	31	14	44	13
Mon Aug 10 13:42:16 2015	1439214136	21	26	47	26
Mon Aug 10 13:42:16 2015	1439214136	21	26	47	26
Mon Aug 10 13:42:16 2015	1439214136	21	26	47	26
Mon Aug 10 13:42:15 2015	1439214135	32	15	47	15
Mon Aug 10 13:42:15 2015	1439214135	39	9	48	9
Mon Aug 10 13:42:15 2015	1439214135	25	23	48	23
Mon Aug 10 13:42:16 2015	1439214136	22	26	48	26
Mon Aug 10 13:42:17 2015	1439214137	26	22	49	22
Mon Aug 10 13:42:15 2015	1439214135	39	10	49	10
Mon Aug 10 13:42:17 2015	1439214137	27	22	49	22
Mon Aug 10 13:42:16 2015	1439214136	27	23	49	23
Mon Aug 10 13:42:17 2015	1439214137	39	11	50	11
Mon Aug 10 13:42:15 2015	1439214135	36	14	50	14
Mon Aug 10 13:42:17 2015	1439214137	42	8	50	8
Mon Aug 10 13:42:15 2015	1439214135	13	38	50	38
Mon Aug 10 13:42:17 2015	1439214137	43	8	51	8
Mon Aug 10 13:42:15 2015	1439214135	36	15	51	15
Mon Aug 10 13:42:16 2015	1439214136	49	3	52	3
Mon Aug 10 13:42:16 2015	1439214136	48	4	52	4
Mon Aug 10 13:42:16 2015	1439214136	32	21	52	21
Mon Aug 10 13:42:16 2015	1439214136	32	21	53	21
Mon Aug 10 13:42:16 2015	1439214136	49	4	53	4
Mon Aug 10 13:42:16 2015	1439214136	25	28	53	28
Mon Aug 10 13:42:15 2015	1439214135	17	36	53	36
Mon Aug 10 13:42:15 2015	1439214135	13	40	53	40
Mon Aug 10 13:42:15 2015	1439214135	33	21	54	21
Mon Aug 10 13:42:17 2015	1439214137	29	25	54	25
Mon Aug 10 13:42:16 2015	1439214136	34	21	54	21
Mon Aug 10 13:42:17 2015	1439214137	30	25	54	25
Mon Aug 10 13:42:16 2015	1439214136	40	15	55	15
Mon Aug 10 13:42:16 2015	1439214136	39	16	55	16
Mon Aug 10 13:42:16 2015	1439214136	39	16	55	16
Mon Aug 10 13:42:16 2015	1439214136	48	8	55	8
Mon Aug 10 13:42:16 2015	1439214136	46	10	56	10
Mon Aug 10 13:42:16 2015	1439214136	47	9	56	9
Mon Aug 10 13:42:16 2015	1439214136	19	37	56	37
Mon Aug 10 13:42:17 2015	1439214137	32	25	57	25
Mon Aug 10 13:42:16 2015	1439214136	36	21	57	21
Mon Aug 10 13:42:17 2015	1439214137	48	9	57	9
Mon Aug 10 13:42:17 2015	1439214137	32	25	57	25
Mon Aug 10 13:42:16 2015	1439214136	36	21	57	21
Mon Aug 10 13:42:16 2015	1439214136	36	21	57	21
Mon Aug 10 13:42:17 2015	1439214137	49	9	57	9
Mon Aug 10 13:42:16 2015	1439214136	25	33	58	33
Mon Aug 10 13:42:16 2015	1439214136	26	33	59	33
