starttime	seconds	ctime	dtime	ttime	wait
Mon Aug 10 09:45:54 2015	1439199954	46	48	93	39
Mon Aug 10 09:45:54 2015	1439199954	47	48	94	47
Mon Aug 10 09:45:54 2015	1439199954	69	50	119	50
Mon Aug 10 09:45:54 2015	1439199954	79	40	119	40
Mon Aug 10 09:45:54 2015	1439199954	47	72	119	72
Mon Aug 10 09:45:54 2015	1439199954	39	97	136	97
Mon Aug 10 09:45:54 2015	1439199954	39	99	138	99
Mon Aug 10 09:45:54 2015	1439199954	56	81	138	81
Mon Aug 10 09:45:54 2015	1439199954	41	97	138	97
Mon Aug 10 09:45:54 2015	1439199954	93	58	151	58
Mon Aug 10 09:45:54 2015	1439199954	105	54	159	54
Mon Aug 10 09:45:54 2015	1439199954	112	48	160	48
Mon Aug 10 09:45:54 2015	1439199954	41	119	160	119
Mon Aug 10 09:45:54 2015	1439199954	41	119	160	119
Mon Aug 10 09:45:54 2015	1439199954	129	32	162	28
Mon Aug 10 09:45:54 2015	1439199954	136	31	167	31
Mon Aug 10 09:45:54 2015	1439199954	56	113	170	112
Mon Aug 10 09:45:54 2015	1439199954	124	49	172	49
Mon Aug 10 09:45:54 2015	1439199954	56	122	178	122
Mon Aug 10 09:45:54 2015	1439199954	152	27	179	27
Mon Aug 10 09:45:54 2015	1439199954	41	138	179	138
Mon Aug 10 09:45:54 2015	1439199954	135	44	179	44
Mon Aug 10 09:45:55 2015	1439199955	139	41	181	41
Mon Aug 10 09:45:54 2015	1439199954	118	66	184	66
Mon Aug 10 09:45:54 2015	1439199954	45	147	191	147
Mon Aug 10 09:45:54 2015	1439199954	57	135	192	128
Mon Aug 10 09:45:55 2015	1439199955	172	22	193	22
Mon Aug 10 09:45:54 2015	1439199954	142	51	194	51
Mon Aug 10 09:45:55 2015	1439199955	146	50	195	50
Mon Aug 10 09:45:59 2015	1439199959	164	32	196	32
Mon Aug 10 09:45:54 2015	1439199954	136	60	196	60
Mon Aug 10 09:45:54 2015	1439199954	150	48	198	48
Mon Aug 10 09:45:55 2015	1439199955	168	31	199	31
