starttime	seconds	ctime	dtime	ttime	wait
Mon Aug 10 09:45:49 2015	1439199949	9	25	34	25
Mon Aug 10 09:45:52 2015	1439199952	15	27	42	27
Mon Aug 10 09:45:49 2015	1439199949	13	36	49	36
Mon Aug 10 09:45:51 2015	1439199951	24	30	54	30
Mon Aug 10 09:45:51 2015	1439199951	18	36	54	36
Mon Aug 10 09:45:50 2015	1439199950	5	54	59	53
Mon Aug 10 09:45:49 2015	1439199949	36	25	61	25
Mon Aug 10 09:45:52 2015	1439199952	6	56	61	46
Mon Aug 10 09:45:49 2015	1439199949	17	46	63	45
Mon Aug 10 09:45:51 2015	1439199951	12	52	64	52
Mon Aug 10 09:45:51 2015	1439199951	25	39	64	39
Mon Aug 10 09:45:49 2015	1439199949	24	42	66	42
Mon Aug 10 09:45:52 2015	1439199952	11	58	69	57
Mon Aug 10 09:45:49 2015	1439199949	17	53	70	52
Mon Aug 10 09:45:49 2015	1439199949	22	49	70	49
Mon Aug 10 09:45:49 2015	1439199949	27	44	71	43
Mon Aug 10 09:45:50 2015	1439199950	21	50	71	50
Mon Aug 10 09:45:51 2015	1439199951	22	49	71	49
Mon Aug 10 09:45:52 2015	1439199952	12	62	74	62
Mon Aug 10 09:45:49 2015	1439199949	26	49	75	49
Mon Aug 10 09:45:50 2015	1439199950	6	69	75	69
Mon Aug 10 09:45:49 2015	1439199949	17	58	75	58
Mon Aug 10 09:45:50 2015	1439199950	16	60	77	60
Mon Aug 10 09:45:49 2015	1439199949	23	53	77	53
Mon Aug 10 09:45:52 2015	1439199952	11	66	77	66
Mon Aug 10 09:45:51 2015	1439199951	31	47	77	47
Mon Aug 10 09:45:51 2015	1439199951	22	56	79	56
Mon Aug 10 09:45:51 2015	1439199951	33	46	79	46
Mon Aug 10 09:45:52 2015	1439199952	47	34	81	33
Mon Aug 10 09:45:50 2015	1439199950	41	40	81	39
Mon Aug 10 09:45:51 2015	1439199951	27	55	82	55
Mon Aug 10 09:45:51 2015	1439199951	43	39	82	39
Mon Aug 10 09:45:50 2015	1439199950	35	48	83	46
Mon Aug 10 09:45:52 2015	1439199952	9	74	83	74
Mon Aug 10 09:45:50 2015	1439199950	45	38	83	38
Mon Aug 10 09:45:52 2015	1439199952	5	78	83	78
Mon Aug 10 09:45:50 2015	1439199950	40	44	83	44
Mon Aug 10 09:45:51 2015	1439199951	34	49	84	49
Mon Aug 10 09:45:51 2015	1439199951	27	57	84	57
Mon Aug 10 09:45:52 2015	1439199952	42	42	84	42
Mon Aug 10 09:45:51 2015	1439199951	26	59	85	59
Mon Aug 10 09:45:52 2015	1439199952	43	41	85	41
Mon Aug 10 09:45:52 2015	1439199952	55	30	85	30
Mon Aug 10 09:45:52 2015	1439199952	50	36	86	36
Mon Aug 10 09:45:49 2015	1439199949	17	70	87	69
Mon Aug 10 09:45:50 2015	1439199950	4	83	88	83
Mon Aug 10 09:45:52 2015	1439199952	60	27	88	27
Mon Aug 10 09:45:52 2015	1439199952	64	24	88	24
Mon Aug 10 09:45:52 2015	1439199952	47	42	89	41
Mon Aug 10 09:45:52 2015	1439199952	58	31	89	30
Mon Aug 10 09:45:52 2015	1439199952	46	43	89	43
Mon Aug 10 09:45:50 2015	1439199950	40	49	89	49
Mon Aug 10 09:45:51 2015	1439199951	23	66	89	66
Mon Aug 10 09:45:49 2015	1439199949	17	72	89	71
Mon Aug 10 09:45:52 2015	1439199952	56	34	90	32
Mon Aug 10 09:45:52 2015	1439199952	18	73	90	72
Mon Aug 10 09:45:52 2015	1439199952	21	69	90	69
Mon Aug 10 09:45:49 2015	1439199949	12	79	91	78
Mon Aug 10 09:45:49 2015	1439199949	28	63	91	63
Mon Aug 10 09:45:52 2015	1439199952	26	66	92	65
Mon Aug 10 09:45:50 2015	1439199950	54	38	92	38
Mon Aug 10 09:45:50 2015	1439199950	35	57	92	56
Mon Aug 10 09:45:51 2015	1439199951	22	71	93	70
Mon Aug 10 09:45:52 2015	1439199952	43	51	94	50
Mon Aug 10 09:45:51 2015	1439199951	44	50	94	50
Mon Aug 10 09:45:51 2015	1439199951	41	53	94	53
Mon Aug 10 09:45:49 2015	1439199949	25	69	94	69
Mon Aug 10 09:45:52 2015	1439199952	67	27	94	27
Mon Aug 10 09:45:50 2015	1439199950	58	36	94	36
Mon Aug 10 09:45:52 2015	1439199952	12	83	95	83
Mon Aug 10 09:45:50 2015	1439199950	40	55	95	55
Mon Aug 10 09:45:52 2015	1439199952	10	85	95	85
Mon Aug 10 09:45:50 2015	1439199950	49	47	96	47
Mon Aug 10 09:45:51 2015	1439199951	19	76	96	76
Mon Aug 10 09:45:49 2015	1439199949	29	67	96	67
Mon Aug 10 09:45:52 2015	1439199952	12	85	96	84
Mon Aug 10 09:45:49 2015	1439199949	10	86	97	86
Mon Aug 10 09:45:51 2015	1439199951	32	65	97	64
Mon Aug 10 09:45:52 2015	1439199952	54	43	97	43
Mon Aug 10 09:45:51 2015	1439199951	33	64	97	64
Mon Aug 10 09:45:51 2015	1439199951	13	84	97	84
Mon Aug 10 09:45:51 2015	1439199951	43	54	97	54
Mon Aug 10 09:45:51 2015	1439199951	18	79	98	79
Mon Aug 10 09:45:52 2015	1439199952	66	32	98	32
Mon Aug 10 09:45:52 2015	1439199952	58	40	98	40
Mon Aug 10 09:45:53 2015	1439199953	70	29	98	29
Mon Aug 10 09:45:53 2015	1439199953	77	21	98	21
Mon Aug 10 09:45:49 2015	1439199949	17	81	98	81
Mon Aug 10 09:45:49 2015	1439199949	20	78	98	78
Mon Aug 10 09:45:52 2015	1439199952	33	65	98	65
Mon Aug 10 09:45:52 2015	1439199952	15	83	98	83
Mon Aug 10 09:45:52 2015	1439199952	25	74	98	73
Mon Aug 10 09:45:52 2015	1439199952	37	62	99	61
Mon Aug 10 09:45:50 2015	1439199950	48	50	99	49
Mon Aug 10 09:45:49 2015	1439199949	21	78	99	78
Mon Aug 10 09:45:50 2015	1439199950	57	42	99	42
Mon Aug 10 09:45:51 2015	1439199951	26	73	99	73
Mon Aug 10 09:45:52 2015	1439199952	54	45	99	45
Mon Aug 10 09:45:52 2015	1439199952	73	27	100	27
Mon Aug 10 09:45:51 2015	1439199951	15	86	100	86
Mon Aug 10 09:45:51 2015	1439199951	18	82	100	82
Mon Aug 10 09:45:51 2015	1439199951	39	62	101	62
Mon Aug 10 09:45:49 2015	1439199949	23	77	101	77
Mon Aug 10 09:45:50 2015	1439199950	23	78	101	78
Mon Aug 10 09:45:49 2015	1439199949	28	73	101	73
Mon Aug 10 09:45:50 2015	1439199950	46	55	101	55
Mon Aug 10 09:45:51 2015	1439199951	23	78	101	78
Mon Aug 10 09:45:52 2015	1439199952	68	33	102	33
Mon Aug 10 09:45:51 2015	1439199951	26	76	102	76
Mon Aug 10 09:45:50 2015	1439199950	71	31	102	31
Mon Aug 10 09:45:51 2015	1439199951	26	76	102	76
Mon Aug 10 09:45:52 2015	1439199952	61	42	103	41
Mon Aug 10 09:45:51 2015	1439199951	29	74	103	73
Mon Aug 10 09:45:50 2015	1439199950	28	75	103	75
Mon Aug 10 09:45:51 2015	1439199951	37	66	103	66
Mon Aug 10 09:45:50 2015	1439199950	73	30	103	30
Mon Aug 10 09:45:52 2015	1439199952	18	86	104	86
Mon Aug 10 09:45:53 2015	1439199953	79	25	104	25
Mon Aug 10 09:45:52 2015	1439199952	20	83	104	82
Mon Aug 10 09:45:52 2015	1439199952	63	41	104	41
Mon Aug 10 09:45:52 2015	1439199952	17	87	104	87
Mon Aug 10 09:45:50 2015	1439199950	56	48	104	48
Mon Aug 10 09:45:52 2015	1439199952	37	67	104	67
Mon Aug 10 09:45:49 2015	1439199949	30	74	104	74
Mon Aug 10 09:45:50 2015	1439199950	59	45	104	45
Mon Aug 10 09:45:49 2015	1439199949	25	79	104	79
Mon Aug 10 09:45:52 2015	1439199952	71	33	104	33
Mon Aug 10 09:45:50 2015	1439199950	38	67	104	67
Mon Aug 10 09:45:49 2015	1439199949	30	75	105	75
Mon Aug 10 09:45:52 2015	1439199952	72	32	105	32
Mon Aug 10 09:45:49 2015	1439199949	29	75	105	75
Mon Aug 10 09:45:51 2015	1439199951	57	48	105	47
Mon Aug 10 09:45:50 2015	1439199950	48	57	105	56
Mon Aug 10 09:45:50 2015	1439199950	42	63	105	62
Mon Aug 10 09:45:52 2015	1439199952	72	34	105	34
Mon Aug 10 09:45:50 2015	1439199950	63	43	105	43
Mon Aug 10 09:45:53 2015	1439199953	76	29	106	29
Mon Aug 10 09:45:53 2015	1439199953	76	30	106	30
Mon Aug 10 09:45:53 2015	1439199953	73	33	106	33
Mon Aug 10 09:45:49 2015	1439199949	30	76	106	76
Mon Aug 10 09:45:52 2015	1439199952	20	86	106	85
Mon Aug 10 09:45:51 2015	1439199951	34	73	107	72
Mon Aug 10 09:45:51 2015	1439199951	25	82	107	82
Mon Aug 10 09:45:49 2015	1439199949	27	79	107	79
Mon Aug 10 09:45:51 2015	1439199951	21	86	107	86
Mon Aug 10 09:45:51 2015	1439199951	21	86	107	86
Mon Aug 10 09:45:51 2015	1439199951	28	79	107	79
Mon Aug 10 09:45:50 2015	1439199950	44	63	107	62
Mon Aug 10 09:45:51 2015	1439199951	31	76	107	76
Mon Aug 10 09:45:51 2015	1439199951	19	89	108	89
Mon Aug 10 09:45:50 2015	1439199950	34	74	108	74
Mon Aug 10 09:45:53 2015	1439199953	73	34	108	34
Mon Aug 10 09:45:49 2015	1439199949	23	84	108	84
Mon Aug 10 09:45:53 2015	1439199953	71	37	108	37
Mon Aug 10 09:45:50 2015	1439199950	68	40	108	39
Mon Aug 10 09:45:49 2015	1439199949	15	93	108	93
Mon Aug 10 09:45:51 2015	1439199951	25	83	108	82
Mon Aug 10 09:45:52 2015	1439199952	75	33	108	33
Mon Aug 10 09:45:52 2015	1439199952	69	39	108	39
Mon Aug 10 09:45:51 2015	1439199951	23	85	108	82
Mon Aug 10 09:45:50 2015	1439199950	69	40	108	39
Mon Aug 10 09:45:50 2015	1439199950	55	53	108	53
Mon Aug 10 09:45:50 2015	1439199950	66	42	108	42
Mon Aug 10 09:45:51 2015	1439199951	45	63	108	61
Mon Aug 10 09:45:50 2015	1439199950	48	60	108	60
Mon Aug 10 09:45:51 2015	1439199951	50	59	109	59
Mon Aug 10 09:45:50 2015	1439199950	47	62	109	61
Mon Aug 10 09:45:49 2015	1439199949	22	87	109	87
Mon Aug 10 09:45:49 2015	1439199949	19	90	109	84
Mon Aug 10 09:45:50 2015	1439199950	72	37	109	37
Mon Aug 10 09:45:52 2015	1439199952	82	27	109	27
Mon Aug 10 09:45:50 2015	1439199950	53	56	110	56
Mon Aug 10 09:45:50 2015	1439199950	59	51	110	50
Mon Aug 10 09:45:52 2015	1439199952	71	39	110	39
Mon Aug 10 09:45:50 2015	1439199950	60	50	110	49
Mon Aug 10 09:45:51 2015	1439199951	34	76	110	76
Mon Aug 10 09:45:50 2015	1439199950	70	41	111	41
Mon Aug 10 09:45:51 2015	1439199951	42	69	111	69
Mon Aug 10 09:45:50 2015	1439199950	55	56	111	56
Mon Aug 10 09:45:52 2015	1439199952	12	99	111	99
Mon Aug 10 09:45:51 2015	1439199951	26	85	111	85
Mon Aug 10 09:45:51 2015	1439199951	31	80	111	80
Mon Aug 10 09:45:52 2015	1439199952	10	102	111	102
Mon Aug 10 09:45:53 2015	1439199953	71	40	111	40
Mon Aug 10 09:45:50 2015	1439199950	80	31	111	31
Mon Aug 10 09:45:52 2015	1439199952	47	65	111	64
Mon Aug 10 09:45:52 2015	1439199952	40	71	112	71
Mon Aug 10 09:45:53 2015	1439199953	67	45	112	45
Mon Aug 10 09:45:53 2015	1439199953	73	39	112	39
Mon Aug 10 09:45:52 2015	1439199952	64	48	112	47
Mon Aug 10 09:45:51 2015	1439199951	32	81	112	81
Mon Aug 10 09:45:53 2015	1439199953	75	37	112	36
Mon Aug 10 09:45:49 2015	1439199949	12	100	112	100
Mon Aug 10 09:45:52 2015	1439199952	58	54	112	54
Mon Aug 10 09:45:52 2015	1439199952	69	43	112	42
Mon Aug 10 09:45:50 2015	1439199950	22	91	112	91
Mon Aug 10 09:45:50 2015	1439199950	69	43	113	43
Mon Aug 10 09:45:49 2015	1439199949	27	86	113	86
Mon Aug 10 09:45:51 2015	1439199951	32	81	113	81
Mon Aug 10 09:45:51 2015	1439199951	26	87	113	86
Mon Aug 10 09:45:51 2015	1439199951	32	81	113	80
Mon Aug 10 09:45:51 2015	1439199951	38	76	113	75
Mon Aug 10 09:45:51 2015	1439199951	32	81	113	81
Mon Aug 10 09:45:51 2015	1439199951	17	96	113	96
Mon Aug 10 09:45:52 2015	1439199952	52	62	113	62
Mon Aug 10 09:45:52 2015	1439199952	63	50	113	49
Mon Aug 10 09:45:52 2015	1439199952	70	43	114	43
Mon Aug 10 09:45:52 2015	1439199952	22	92	114	92
Mon Aug 10 09:45:50 2015	1439199950	54	60	114	59
Mon Aug 10 09:45:50 2015	1439199950	75	38	114	38
Mon Aug 10 09:45:50 2015	1439199950	71	43	114	43
Mon Aug 10 09:45:50 2015	1439199950	67	47	114	47
Mon Aug 10 09:45:49 2015	1439199949	15	99	114	98
Mon Aug 10 09:45:52 2015	1439199952	47	67	114	67
Mon Aug 10 09:45:52 2015	1439199952	68	47	115	47
Mon Aug 10 09:45:52 2015	1439199952	57	57	115	57
Mon Aug 10 09:45:51 2015	1439199951	54	61	115	61
Mon Aug 10 09:45:52 2015	1439199952	11	103	115	103
Mon Aug 10 09:45:52 2015	1439199952	10	105	115	105
Mon Aug 10 09:45:52 2015	1439199952	43	72	115	71
Mon Aug 10 09:45:49 2015	1439199949	26	90	115	89
Mon Aug 10 09:45:51 2015	1439199951	38	77	115	77
Mon Aug 10 09:45:49 2015	1439199949	29	86	115	86
Mon Aug 10 09:45:51 2015	1439199951	32	83	116	83
Mon Aug 10 09:45:52 2015	1439199952	72	44	116	44
Mon Aug 10 09:45:52 2015	1439199952	65	51	116	51
Mon Aug 10 09:45:52 2015	1439199952	11	105	116	105
Mon Aug 10 09:45:52 2015	1439199952	72	44	116	44
Mon Aug 10 09:45:52 2015	1439199952	10	106	116	106
Mon Aug 10 09:45:50 2015	1439199950	71	45	116	44
Mon Aug 10 09:45:50 2015	1439199950	78	39	117	37
Mon Aug 10 09:45:49 2015	1439199949	33	84	117	83
Mon Aug 10 09:45:49 2015	1439199949	24	93	117	93
Mon Aug 10 09:45:49 2015	1439199949	43	74	117	74
Mon Aug 10 09:45:49 2015	1439199949	28	89	117	89
Mon Aug 10 09:45:50 2015	1439199950	45	72	117	72
Mon Aug 10 09:45:50 2015	1439199950	54	63	117	63
Mon Aug 10 09:45:52 2015	1439199952	18	99	117	99
Mon Aug 10 09:45:50 2015	1439199950	77	41	117	41
Mon Aug 10 09:45:49 2015	1439199949	34	83	118	83
Mon Aug 10 09:45:51 2015	1439199951	32	86	118	86
Mon Aug 10 09:45:52 2015	1439199952	5	113	118	113
Mon Aug 10 09:45:50 2015	1439199950	29	90	119	90
Mon Aug 10 09:45:50 2015	1439199950	27	91	119	91
Mon Aug 10 09:45:49 2015	1439199949	43	75	119	75
Mon Aug 10 09:45:49 2015	1439199949	34	84	119	84
Mon Aug 10 09:45:49 2015	1439199949	56	63	119	63
Mon Aug 10 09:45:50 2015	1439199950	63	56	119	56
Mon Aug 10 09:45:52 2015	1439199952	52	67	119	67
Mon Aug 10 09:45:52 2015	1439199952	69	51	120	51
Mon Aug 10 09:45:51 2015	1439199951	27	92	120	92
Mon Aug 10 09:45:52 2015	1439199952	78	42	120	41
Mon Aug 10 09:45:52 2015	1439199952	17	103	120	102
Mon Aug 10 09:45:53 2015	1439199953	78	43	121	42
Mon Aug 10 09:45:49 2015	1439199949	30	91	121	91
Mon Aug 10 09:45:51 2015	1439199951	30	91	121	91
Mon Aug 10 09:45:51 2015	1439199951	65	56	121	56
Mon Aug 10 09:45:51 2015	1439199951	32	89	121	89
Mon Aug 10 09:45:50 2015	1439199950	51	70	122	70
Mon Aug 10 09:45:50 2015	1439199950	31	91	122	91
Mon Aug 10 09:45:52 2015	1439199952	12	110	122	104
Mon Aug 10 09:45:49 2015	1439199949	10	112	122	112
Mon Aug 10 09:45:52 2015	1439199952	68	53	122	53
Mon Aug 10 09:45:50 2015	1439199950	49	73	122	73
Mon Aug 10 09:45:50 2015	1439199950	59	63	122	62
Mon Aug 10 09:45:50 2015	1439199950	60	62	122	62
Mon Aug 10 09:45:52 2015	1439199952	8	115	122	114
Mon Aug 10 09:45:49 2015	1439199949	35	88	122	87
Mon Aug 10 09:45:49 2015	1439199949	21	102	122	102
Mon Aug 10 09:45:53 2015	1439199953	81	41	122	41
Mon Aug 10 09:45:49 2015	1439199949	33	90	123	90
Mon Aug 10 09:45:50 2015	1439199950	56	67	123	67
Mon Aug 10 09:45:52 2015	1439199952	63	60	123	59
Mon Aug 10 09:45:49 2015	1439199949	19	104	123	104
Mon Aug 10 09:45:49 2015	1439199949	36	87	123	87
Mon Aug 10 09:45:50 2015	1439199950	56	67	123	67
Mon Aug 10 09:45:52 2015	1439199952	28	95	123	95
Mon Aug 10 09:45:49 2015	1439199949	29	94	124	94
