starttime	seconds	ctime	dtime	ttime	wait
Mon Aug 10 13:42:31 2015	1439214151	76	9	85	9
Mon Aug 10 13:42:31 2015	1439214151	81	5	86	5
Mon Aug 10 13:42:31 2015	1439214151	82	5	86	5
Mon Aug 10 13:42:31 2015	1439214151	81	5	86	5
Mon Aug 10 13:42:33 2015	1439214153	41	45	86	45
Mon Aug 10 13:42:31 2015	1439214151	82	4	87	4
Mon Aug 10 13:42:31 2015	1439214151	82	5	87	5
Mon Aug 10 13:42:31 2015	1439214151	78	12	90	12
Mon Aug 10 13:42:31 2015	1439214151	78	12	90	12
Mon Aug 10 13:42:31 2015	1439214151	87	10	96	10
Mon Aug 10 13:42:31 2015	1439214151	86	12	98	12
Mon Aug 10 13:42:31 2015	1439214151	86	12	99	12
Mon Aug 10 13:42:31 2015	1439214151	86	13	99	13
Mon Aug 10 13:42:28 2015	1439214148	88	13	101	13
Mon Aug 10 13:42:28 2015	1439214148	88	13	101	13
Mon Aug 10 13:42:28 2015	1439214148	88	14	102	14
Mon Aug 10 13:42:28 2015	1439214148	89	13	102	13
Mon Aug 10 13:42:28 2015	1439214148	89	14	102	14
Mon Aug 10 13:42:28 2015	1439214148	89	14	103	13
Mon Aug 10 13:42:28 2015	1439214148	89	14	103	14
Mon Aug 10 13:42:31 2015	1439214151	27	88	115	88
Mon Aug 10 13:42:29 2015	1439214149	67	65	132	65
Mon Aug 10 13:42:29 2015	1439214149	67	66	132	66
Mon Aug 10 13:42:29 2015	1439214149	69	66	135	66
Mon Aug 10 13:42:32 2015	1439214152	59	81	140	81
Mon Aug 10 13:42:32 2015	1439214152	59	81	140	81
Mon Aug 10 13:42:32 2015	1439214152	58	82	140	82
Mon Aug 10 13:42:32 2015	1439214152	59	84	143	84
Mon Aug 10 13:42:32 2015	1439214152	59	84	143	84
Mon Aug 10 13:42:25 2015	1439214145	38	108	146	108
Mon Aug 10 13:42:28 2015	1439214148	56	91	146	91
Mon Aug 10 13:42:30 2015	1439214150	137	13	150	13
Mon Aug 10 13:42:28 2015	1439214148	61	91	152	91
Mon Aug 10 13:42:28 2015	1439214148	62	92	153	92
Mon Aug 10 13:42:32 2015	1439214152	71	89	159	89
Mon Aug 10 13:42:29 2015	1439214149	60	100	160	100
Mon Aug 10 13:42:32 2015	1439214152	76	84	160	84
Mon Aug 10 13:42:29 2015	1439214149	61	100	160	100
Mon Aug 10 13:42:29 2015	1439214149	61	99	160	99
Mon Aug 10 13:42:29 2015	1439214149	61	100	161	100
Mon Aug 10 13:42:28 2015	1439214148	61	99	161	99
Mon Aug 10 13:42:29 2015	1439214149	62	99	161	99
Mon Aug 10 13:42:29 2015	1439214149	62	100	161	100
Mon Aug 10 13:42:33 2015	1439214153	82	80	163	80
Mon Aug 10 13:42:33 2015	1439214153	82	81	163	81
Mon Aug 10 13:42:33 2015	1439214153	66	97	163	97
Mon Aug 10 13:42:33 2015	1439214153	82	81	163	81
Mon Aug 10 13:42:33 2015	1439214153	82	81	163	81
Mon Aug 10 13:42:33 2015	1439214153	82	81	163	81
