starttime	seconds	ctime	dtime	ttime	wait
Mon Aug 10 11:41:38 2015	1439206898	280	175	455	175
Mon Aug 10 11:41:38 2015	1439206898	255	202	456	202
Mon Aug 10 11:41:38 2015	1439206898	251	205	456	205
Mon Aug 10 11:41:38 2015	1439206898	253	203	456	203
Mon Aug 10 11:41:38 2015	1439206898	241	216	458	216
Mon Aug 10 11:41:38 2015	1439206898	243	215	458	215
Mon Aug 10 11:41:38 2015	1439206898	249	209	458	209
Mon Aug 10 11:41:38 2015	1439206898	238	221	458	221
Mon Aug 10 11:41:38 2015	1439206898	245	213	459	213
Mon Aug 10 11:41:38 2015	1439206898	239	219	459	219
Mon Aug 10 11:41:38 2015	1439206898	247	211	459	211
Mon Aug 10 11:41:37 2015	1439206897	326	194	520	193
Mon Aug 10 11:42:12 2015	1439206932	225	337	562	337
Mon Aug 10 11:42:12 2015	1439206932	215	348	563	348
Mon Aug 10 11:40:59 2015	1439206859	244	343	586	343
Mon Aug 10 11:40:59 2015	1439206859	240	347	587	347
Mon Aug 10 11:40:59 2015	1439206859	242	345	587	345
Mon Aug 10 11:42:10 2015	1439206930	252	356	608	356
Mon Aug 10 11:41:37 2015	1439206897	417	219	636	219
Mon Aug 10 11:40:27 2015	1439206827	394	258	653	258
Mon Aug 10 11:40:27 2015	1439206827	275	382	658	382
Mon Aug 10 11:40:27 2015	1439206827	291	367	658	367
Mon Aug 10 11:40:59 2015	1439206859	247	414	661	414
Mon Aug 10 11:42:11 2015	1439206931	246	419	664	419
Mon Aug 10 11:41:37 2015	1439206897	324	341	664	341
Mon Aug 10 11:40:27 2015	1439206827	313	356	669	356
Mon Aug 10 11:40:27 2015	1439206827	315	355	669	354
Mon Aug 10 11:40:27 2015	1439206827	311	360	670	359
Mon Aug 10 11:42:12 2015	1439206932	339	352	691	352
Mon Aug 10 11:42:12 2015	1439206932	341	351	691	351
Mon Aug 10 11:42:12 2015	1439206932	309	383	691	382
Mon Aug 10 11:42:12 2015	1439206932	330	361	692	361
Mon Aug 10 11:42:12 2015	1439206932	335	357	692	357
Mon Aug 10 11:42:12 2015	1439206932	333	360	692	360
Mon Aug 10 11:42:12 2015	1439206932	329	365	693	365
Mon Aug 10 11:42:12 2015	1439206932	319	374	694	374
Mon Aug 10 11:42:12 2015	1439206932	325	369	694	369
Mon Aug 10 11:42:12 2015	1439206932	323	371	694	371
Mon Aug 10 11:42:12 2015	1439206932	327	368	694	368
Mon Aug 10 11:42:12 2015	1439206932	321	373	694	373
Mon Aug 10 11:40:27 2015	1439206827	302	394	696	394
