starttime	seconds	ctime	dtime	ttime	wait
Mon Aug 10 11:24:48 2015	1439205888	286	380	667	380
Mon Aug 10 11:24:21 2015	1439205861	186	529	715	529
Mon Aug 10 11:24:19 2015	1439205859	472	266	738	265
Mon Aug 10 11:24:19 2015	1439205859	469	269	739	269
Mon Aug 10 11:24:19 2015	1439205859	471	268	739	267
Mon Aug 10 11:24:19 2015	1439205859	466	273	739	273
Mon Aug 10 11:24:19 2015	1439205859	461	279	740	279
Mon Aug 10 11:24:19 2015	1439205859	463	278	740	277
Mon Aug 10 11:24:19 2015	1439205859	465	276	741	276
Mon Aug 10 11:24:19 2015	1439205859	450	290	741	290
Mon Aug 10 11:24:19 2015	1439205859	455	286	741	286
Mon Aug 10 11:24:19 2015	1439205859	446	295	741	295
Mon Aug 10 11:24:19 2015	1439205859	459	283	742	282
Mon Aug 10 11:24:19 2015	1439205859	453	289	742	289
Mon Aug 10 11:24:19 2015	1439205859	448	294	743	294
Mon Aug 10 11:25:06 2015	1439205906	372	450	822	450
Mon Aug 10 11:25:06 2015	1439205906	347	479	827	479
Mon Aug 10 11:25:11 2015	1439205911	304	523	827	523
Mon Aug 10 11:25:06 2015	1439205906	374	453	827	453
Mon Aug 10 11:25:11 2015	1439205911	314	515	829	515
Mon Aug 10 11:25:06 2015	1439205906	360	470	831	470
Mon Aug 10 11:25:06 2015	1439205906	362	468	831	468
Mon Aug 10 11:25:06 2015	1439205906	366	464	831	464
Mon Aug 10 11:25:06 2015	1439205906	364	466	831	466
Mon Aug 10 11:25:06 2015	1439205906	376	455	831	455
Mon Aug 10 11:25:06 2015	1439205906	371	461	832	461
Mon Aug 10 11:25:11 2015	1439205911	300	532	833	532
Mon Aug 10 11:25:11 2015	1439205911	313	520	833	520
Mon Aug 10 11:25:11 2015	1439205911	311	522	833	522
Mon Aug 10 11:25:11 2015	1439205911	316	517	833	517
Mon Aug 10 11:25:11 2015	1439205911	303	531	834	531
Mon Aug 10 11:25:11 2015	1439205911	305	529	834	529
Mon Aug 10 11:25:11 2015	1439205911	307	527	835	527
Mon Aug 10 11:25:08 2015	1439205908	468	369	837	369
Mon Aug 10 11:25:06 2015	1439205906	369	473	842	473
